CGPA,Attendance,Internships,Projects,DSA_Score,Communication_Score,Certifications,Aptitude_Score,Placement,Package_LPA
8.07,56.1,0,1,76.1,72.2,8,77.0,1,10.3
7.43,56.2,0,5,81.6,62.3,7,51.8,1,8.88
5.03,91.3,1,2,52.8,63.7,5,63.5,0,
6.72,70.5,0,0,58.2,49.4,6,69.7,0,
8.02,94.8,1,1,71.1,64.8,3,71.1,0,
9.11,94.0,1,3,78.2,64.5,5,59.5,1,11.03
5.34,83.6,1,1,36.0,62.9,8,65.4,0,
8.69,57.5,2,2,90.3,67.4,5,71.3,1,13.12
9.25,83.9,0,1,81.1,87.1,4,70.8,1,10.12
9.79,61.2,1,0,75.8,79.2,2,67.9,1,10.31
5.3,72.2,3,4,62.0,71.2,0,52.7,0,
9.25,88.8,2,2,93.5,80.6,7,90.2,1,12.04
8.66,77.8,0,5,57.1,65.9,3,85.0,1,12.2
7.59,90.0,1,0,54.8,58.9,1,86.6,1,8.68
5.28,94.5,2,0,41.0,54.8,8,33.2,0,
7.28,79.7,0,4,69.7,58.4,8,67.0,1,7.27
8.42,73.0,1,2,64.5,74.7,1,67.7,1,11.73
7.82,55.3,1,0,69.7,70.4,5,91.1,1,9.49
8.21,64.6,0,4,74.5,65.1,7,69.6,1,11.4
7.03,76.0,1,5,84.5,55.1,0,47.9,1,10.69
9.14,66.2,0,3,90.8,78.0,7,70.6,1,9.56
7.64,57.3,3,0,74.8,91.2,3,59.3,1,11.5
6.03,73.0,0,3,76.1,60.3,7,54.0,1,7.49
8.18,76.9,0,1,52.4,82.9,8,63.6,1,9.31
5.24,76.5,2,4,78.5,80.4,1,57.6,1,10.68
6.94,97.4,1,4,83.5,51.1,6,52.4,1,8.28
6.52,66.7,1,2,65.5,73.1,4,33.5,1,8.39
7.98,80.3,0,4,80.2,69.9,5,75.1,1,8.71
6.77,62.1,2,5,64.2,93.0,8,83.2,1,9.56
9.51,61.0,0,0,96.4,73.7,4,65.1,1,10.25
5.98,83.5,0,3,63.7,84.0,0,68.5,1,7.6
8.7,83.7,0,5,89.9,54.7,8,75.5,1,11.58
9.24,95.7,1,2,77.8,69.9,2,82.0,1,14.41
5.19,71.1,1,5,51.2,72.0,6,67.3,1,6.89
9.44,65.7,0,1,84.1,72.1,5,74.3,1,10.24
6.19,62.2,1,3,48.2,75.9,3,41.7,1,10.18
6.68,91.9,2,1,70.5,63.8,5,59.9,1,8.75
7.45,85.6,2,2,60.1,70.9,4,61.6,1,12.21
6.27,59.9,1,5,74.8,49.6,8,78.3,1,8.98
7.09,78.4,2,5,81.0,60.9,3,43.0,1,10.89
8.19,69.9,0,0,68.4,59.6,4,61.4,1,8.34
5.92,84.9,1,5,55.0,72.1,4,48.2,0,
6.46,64.5,2,4,82.9,54.9,7,48.8,1,8.28
8.81,98.2,1,5,100.0,78.0,5,93.9,1,12.92
8.87,61.6,0,3,94.4,57.1,7,56.3,1,12.19
5.93,86.3,1,1,68.5,73.1,1,59.2,0,
8.86,86.3,1,4,87.1,92.8,7,78.4,1,10.84
6.52,89.0,1,5,70.7,71.1,8,52.1,1,9.52
9.14,75.3,2,5,88.4,91.4,7,63.8,1,14.28
6.3,69.4,1,1,64.7,67.5,2,68.8,0,
6.96,79.4,1,1,60.5,69.3,0,51.5,1,6.56
6.83,55.3,1,3,87.8,41.6,6,42.3,1,9.96
7.34,67.3,1,3,49.0,56.8,6,78.9,1,6.3
9.41,99.1,1,3,73.0,64.8,1,67.6,1,11.33
6.82,64.5,0,3,70.7,58.5,6,90.3,1,8.86
5.09,79.3,3,2,55.4,60.5,0,55.1,0,
5.96,55.9,0,1,51.9,60.7,3,48.8,0,
6.77,82.3,3,5,92.1,76.5,4,63.2,1,10.59
9.6,72.8,1,0,96.9,57.0,3,60.0,1,12.96
9.08,82.0,0,4,90.8,62.4,6,67.9,1,11.68
7.02,77.1,1,2,66.6,50.5,2,45.1,0,
9.63,67.2,2,4,100.0,76.4,4,59.3,1,14.62
9.49,67.6,1,3,72.3,67.0,5,95.0,1,12.14
8.83,70.3,2,5,97.3,81.5,8,58.9,1,13.09
8.46,77.0,2,5,68.5,72.4,7,69.3,1,12.04
6.47,81.2,1,4,88.4,41.3,8,93.5,1,10.74
6.3,66.3,0,1,52.2,77.8,2,66.3,1,6.59
8.65,81.9,3,1,92.3,67.6,4,79.5,1,12.06
6.32,98.8,1,5,88.3,55.9,7,60.8,1,9.17
6.64,98.4,0,3,81.9,65.6,7,63.5,1,9.43
5.26,61.7,1,2,63.6,61.3,8,56.5,0,
8.8,65.2,1,3,92.1,66.2,6,63.5,1,10.24
9.55,64.4,0,5,82.3,81.3,8,76.5,1,12.62
7.16,81.7,0,1,63.8,73.4,7,70.5,1,7.91
7.83,91.2,0,0,89.0,52.1,4,60.5,1,8.66
5.8,68.8,1,4,77.0,53.6,7,50.2,0,
9.52,77.5,1,0,59.1,60.7,5,69.9,1,10.61
9.13,81.4,0,5,100.0,78.8,2,56.4,1,13.04
9.4,63.2,1,5,100.0,46.9,7,65.4,1,11.83
6.58,86.2,0,3,47.3,67.7,7,46.3,1,7.91
5.56,89.8,2,0,43.7,46.7,6,69.9,0,
7.99,77.4,1,0,73.3,81.3,4,48.8,1,11.91
7.92,65.8,0,4,100.0,78.9,3,66.7,1,11.02
7.21,60.3,2,3,81.6,61.1,4,51.0,1,8.79
5.69,63.6,1,5,70.1,74.7,4,40.3,1,6.12
6.63,90.4,0,0,57.3,71.6,7,69.2,0,
7.32,70.0,2,3,63.1,68.0,3,72.1,1,7.91
6.97,69.3,1,3,86.6,51.6,2,73.5,1,9.43
7.41,81.6,2,3,95.2,79.8,0,61.5,1,10.67
7.25,98.6,0,5,73.0,61.4,5,65.9,1,7.64
6.82,69.2,1,3,72.0,61.1,1,63.0,1,8.7
5.43,99.0,2,5,74.4,66.0,4,46.4,1,8.44
8.82,68.2,1,1,78.2,82.6,2,71.6,1,12.09
6.16,96.1,0,3,53.0,52.7,0,48.5,1,6.17
6.38,79.6,0,2,73.7,60.8,6,54.7,0,
6.45,100.0,2,0,59.4,76.1,4,69.8,1,9.58
6.32,80.5,1,5,69.8,85.1,7,54.9,1,7.01
8.72,65.4,2,1,66.1,59.3,2,50.9,1,9.88
7.12,81.1,1,0,54.6,72.7,6,56.7,1,8.45
7.59,98.7,1,2,76.6,58.9,7,74.2,1,11.02
7.25,58.4,2,1,51.0,76.3,6,48.2,1,8.25
6.76,90.6,0,4,80.5,70.4,4,41.8,1,9.66
6.12,56.1,2,4,65.7,53.4,1,73.0,0,
8.37,84.2,0,0,61.5,78.3,7,64.1,1,9.65
7.58,72.5,1,5,76.1,53.4,2,77.5,1,11.16
9.51,67.6,1,1,68.2,48.8,5,82.3,1,11.87
7.61,99.0,1,3,70.2,94.9,7,71.4,1,8.13
5.24,70.0,3,4,37.1,62.7,8,76.7,1,8.05
9.17,69.8,0,4,100.0,73.1,2,85.6,1,12.55
9.16,60.9,1,1,74.6,71.0,4,69.5,1,11.63
7.53,88.6,1,2,66.0,65.7,8,67.1,1,8.83
8.16,68.6,1,0,44.1,80.3,6,71.8,1,8.97
8.42,75.0,2,2,74.5,67.1,4,56.4,1,10.63
7.87,68.3,1,3,65.7,81.4,8,76.4,1,9.26
7.17,65.3,0,3,56.6,75.3,5,46.8,1,8.0
9.43,58.0,2,0,83.9,57.2,5,79.9,1,10.13
7.82,80.3,0,0,47.1,79.2,6,78.2,0,
9.65,82.0,1,4,85.6,74.3,7,73.5,1,13.49
